epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,826.509,1.3866,0.67081,0.86195,0.95799,0.91129,0.94517,0.50478,1.68252,0.73541,0.88413,7.12282e-05,7.12282e-05,7.12282e-05
86,835.965,1.41712,0.67903,0.86708,0.95737,0.92136,0.94989,0.51649,1.65415,0.72943,0.88275,6.39518e-05,6.39518e-05,6.39518e-05
87,845.642,1.42894,0.68208,0.85843,0.96543,0.90171,0.94551,0.51201,1.67155,0.72971,0.88462,5.71106e-05,5.71106e-05,5.71106e-05
88,855.122,1.39775,0.67114,0.85568,0.94818,0.91013,0.94197,0.492,1.71065,0.74631,0.88785,5.07115e-05,5.07115e-05,5.07115e-05
89,864.622,1.38574,0.67297,0.86133,0.95836,0.90707,0.94475,0.50789,1.65729,0.73254,0.88288,4.47606e-05,4.47606e-05,4.47606e-05
90,874.142,1.39211,0.66261,0.86377,0.95946,0.91014,0.94578,0.50578,1.67139,0.73631,0.88503,3.9264e-05,3.9264e-05,3.9264e-05
91,884.052,1.40624,0.68696,0.87836,0.96906,0.84979,0.93356,0.48491,1.73228,0.79364,0.89171,3.4227e-05,3.4227e-05,3.4227e-05
92,893.548,1.34622,0.63997,0.86713,0.96895,0.87199,0.93974,0.49764,1.69554,0.76732,0.88851,2.96546e-05,2.96546e-05,2.96546e-05
93,902.949,1.36448,0.65318,0.86802,0.97691,0.8712,0.943,0.49415,1.69463,0.76719,0.88809,2.55513e-05,2.55513e-05,2.55513e-05
94,912.365,1.36721,0.65294,0.87104,0.97464,0.86051,0.94302,0.49743,1.70833,0.77117,0.88871,2.19212e-05,2.19212e-05,2.19212e-05
95,921.964,1.3769,0.64445,0.87785,0.97143,0.86806,0.94278,0.498,1.69825,0.76059,0.8876,1.87678e-05,1.87678e-05,1.87678e-05
96,931.36,1.35801,0.6325,0.86324,0.97743,0.86493,0.94033,0.49333,1.70663,0.75771,0.88922,1.60943e-05,1.60943e-05,1.60943e-05
97,940.772,1.33718,0.62727,0.85973,0.97385,0.87142,0.94312,0.49582,1.69984,0.75253,0.88834,1.39032e-05,1.39032e-05,1.39032e-05
98,950.198,1.35414,0.63055,0.87073,0.97366,0.8748,0.9446,0.50121,1.69012,0.75085,0.88727,1.21968e-05,1.21968e-05,1.21968e-05
99,959.608,1.3513,0.63024,0.868,0.9576,0.88185,0.94412,0.50179,1.68528,0.74785,0.88688,1.09768e-05,1.09768e-05,1.09768e-05
100,969.095,1.32059,0.62585,0.8675,0.96828,0.88566,0.94464,0.50462,1.67973,0.74219,0.8865,1.02443e-05,1.02443e-05,1.02443e-05
